DASH.Open;DASH.High;DASH.Low;DASH.Close;DASH.Volume;DASH.Adjusted
113;113,7099991;99,33000183;101,4700012;6604000;101,4700012
103,1500015;106,1800003;95,87999725;96,08999634;5100400;96,08999634
99,30000305;105,0599976;92,77999878;103,6699982;6934000;103,6699982
104,8899994;114,9700012;104,8899994;113,4899979;4768000;113,4899979
112,4000015;117,2399979;110,2600021;114,6200027;3997500;114,6200027
116,1800003;116,2699966;102,8099976;104,1699982;3919600;104,1699982
100,2300034;101,6100006;91,95999908;92,29000092;6618400;92,29000092
93,52999878;101,3399963;93,08999634;98,48999786;4113900;98,48999786
97,58999634;101,9499969;95,31500244;97,91000366;2854200;97,91000366
95,29000092;101,1800003;94,80000305;100,5100021;2913400;100,5100021
102,3300018;109,7200012;102,1500015;108,1299973;5295700;108,1299973
99,08999634;105,8690033;96,51000214;97,80999756;8779300;97,80999756
98,70999908;101,3899994;93,61000061;95,01000214;3382300;95,01000214
95,44000244;99,59999847;94,75;97,11000061;3472300;97,11000061
99,51999664;101,9899979;95,75;101,8099976;3767000;101,8099976
99,79000092;100,2050018;93,55000305;94,88999939;11385300;94,88999939
115,6009979;116;100,5299988;105,0299988;47405700;105,0299988
101,0500031;105,3899994;95,93000031;96,20999908;12010000;96,20999908
95;102,8899994;89,51999664;93,16999817;11629900;93,16999817
94,16999817;96,09999847;89,30000305;90,55000305;5647600;90,55000305
86,87999725;100,9199982;85,17700195;100,4199982;6639000;100,4199982
97,69999695;100,9000015;94,27999878;100,3399963;3638700;100,3399963
101,0299988;105,875;97,55999756;104,9499969;4230200;104,9499969
103,9899979;105,0500031;100,4000015;102,4300003;3090300;102,4300003
103,5999985;104,3199997;100;103,6200027;3297800;103,6200027
102,4000015;105,1500015;99,80999756;101,6800003;4794900;101,6800003
101,6299973;102;88,08000183;89,86000061;7362000;89,86000061
92,73000336;93,20999908;79,11000061;79,86000061;7716000;79,86000061
80,36000061;87,22000122;77,31999969;85,01000214;6802100;85,01000214
86,95999908;93,61000061;86,95999908;91,83999634;4903600;91,83999634
90;92,23000336;87,23999786;89,65000153;4838200;89,65000153
92,62999725;94,79000092;86,48000336;86,97000122;3621200;86,97000122
84,90000153;86,08999634;74,31999969;76,05999756;9861200;76,05999756
76,01999664;80,76999664;76;79,76999664;6096000;79,76999664
83,19999695;90,77999878;83;90,5;6035200;90,5
88,19999695;96,82499695;87,87999725;96,08999634;5038400;96,08999634
97,15000153;107,5599976;96,87999725;107,2900009;7925200;107,2900009
103,2399979;108,4000015;102,3700027;107,0999985;5779200;107,0999985
105,9199982;112,8199997;105,1900024;111,25;3806800;111,25
108;116,8099976;107,1640015;114,3399963;3635200;114,3399963
114,4899979;115,6600037;108,5899963;114,8799973;2935300;114,8799973
113,9400024;114,0449982;104,1699982;105,2900009;5739100;105,2900009
106,6600037;115,1100006;104,8600006;114,4300003;3364500;114,4300003
116,8499985;125,1100006;115,4599991;123,5500031;5660300;123,5500031
122,3000031;129,2400055;113,4000015;118,2300034;7445900;118,2300034
117,7300034;120,3190002;115,2600021;117,1900024;3022100;117,1900024
118,8000031;121,9700012;117,25;120,9000015;2627100;120,9000015
122,5599976;130,1999969;121,9599991;127,2099991;3646600;127,2099991
127,6500015;127,9599991;115,6999969;118,1999969;4735000;118,1999969
115,1900024;115,1900024;106,5899963;113,5999985;3922700;113,5999985
112,6500015;116,1800003;107,2799988;110,9100037;4238100;110,9100037
109;111,8799973;105,3099976;106,4199982;3239100;106,4199982
104,2200012;105,8600006;101,5400009;104,7200012;4887000;104,7200012
107,7399979;112,75;103,7799988;104,4199982;2898200;104,4199982
103,8600006;112,1399994;102,8349991;110,7600021;2747900;110,7600021
109,9100037;112,4800034;107,8199997;109,3099976;2150300;109,3099976
106,4599991;108;99,22000122;103,0999985;3513400;103,0999985
103,0999985;108,4899979;101;106,5100021;2861500;106,5100021
107,6500015;107,6500015;99,05000305;100,1399994;4398100;100,1399994
101,8600006;103,5;91,16000366;91,94999695;5474700;91,94999695
91,48999786;95,5;88,69000244;89;5625000;89
88;93,16799927;87,01999664;91,25;7969600;91,25
90,79000092;91,43000031;83,58000183;84,26000214;7282000;84,26000214
84,47000122;87,84999847;81,33999634;82,22000122;3383900;82,22000122
84,94999695;88,44999695;82,69499969;87,38999939;4835100;87,38999939
84,62999725;89,73000336;81,26999664;81,43000031;3151500;81,43000031
81,62000275;85,37000275;78,79000092;82,26000214;4814800;82,26000214
81,38999939;83,45999908;78,83999634;79,18000031;3959100;79,18000031
76,40000153;82,26999664;70,5;81,63999939;9944900;81,63999939
78,12000275;78,43000031;70,04000092;73,15000153;11392600;73,15000153
72,55999756;77;63,11000061;72,11000061;19772400;72,11000061
69,01999664;71,69999695;63,31999969;64,18000031;10907000;64,18000031
67,45999908;69,94000244;62,02999878;68,52999878;9452600;68,52999878
66,23000336;69,08000183;58,38999939;59,50999832;9039300;59,50999832
58,88000107;70,83999634;57,59999847;65,58999634;12163700;65,58999634
